code,lat,lng
BAV,48.15221,17.120687
IBS,53.204418,-6.10919
IRSC,-4.2669,15.28327
BRTN,50.828381,-0.13947
SFB,43.411175,6.06354
BMPS,51.450001,-2.58333
LRTE,51.450001,-2.58333
CFN,53.001465,-1.613048
RLS,52,-0.98333
SWE,52,-0.98333
CANI,42.92564,-78.853622
BYBS,52.454342,1.43818
CKE,52.795292,-1.44985
CTN,55.433331,-5.63333
SALLE,-29.900644,-51.179363
CTY,51.486794,0.074024
CDFM,51.520821,-3.19851
SCCBC,49.48217,-117.297546
CWDR,57.51667,-3.93333
VA,38.033531,-78.513687
CLI,51.314453,0.63893
CHT,51.900002,-2.08333
CHELB,51.900002,-2.08333
CNM,51.900002,-2.08333
CHL,51.900002,-2.08333
CCR,50.846539,0.43387
ZAD,-9.549996,32.566666
CANTY,-43.527905,172.633545
RHMC,50.733059,-1.77567
CLD,52.510223,-1.525613
COCH,-17.38,-66.15
CLEY,52.625172,1.22236
BUS,25.738251,-80.272949
CORB,54.966671,-2.01667
CRK,51.899471,-8.29718
CYN,51.37672,-0.154487
COVY,52.406559,-1.51217
WAB,40.045177,-86.893921
CRBY,53.99815,-2.177777
SB,34.183685,-86.846387
IBP,-25.43504,-49.256802
DTN,54.767113,-1.59239
DGN,54.655045,-1.571165
DWN,53.700001,-2.46667
DCH,35.488697,-80.830124
NYAS,-14.36667,34.333328
COLOM,39.734722,-104.961243
DKG,51.216671,-0.33333
DO,50.367104,3.07458
DVR,51.191666,1.025
DBC,53.31065,-6.22066
RDS,53.329048,-6.22741
OSI,53.343048,-6.28065
MII,53.343048,-6.28065
IRDA,53.343048,-6.28065
DUBN,53.343048,-6.28065
NHSD,53.343048,-6.28065
DLY,52.5,-2.08333
DFS,55.066669,-3.55
DNS,56.462151,-3.052421
DENA,56.462151,-3.052421
OTM,-45.87709,170.504868
USH,54.773796,-1.541742
EONJ,40.756149,-74.200363
EBNHS,55.90736,-3.2559
NCCE,55.933186,-3.19869
ESNHS,55.950001,-3.2
EGH,55.950001,-3.2
EDH,55.950001,-3.2
EBH,55.950001,-3.2
GHS,55.944458,-3.192315
ELS,51.640301,-0.29693
EPM,51.316669,-0.26667
NWU,42.055321,-87.723511
GAES,33.270092,-84.280235
